epoch,address,received_reward,rewarded_gnk,parent_entry_weight,parent_confirmation_weight,parent_voting_power,kimi_entry_weight,kimi_subgroup_confirmation_weight,kimi_voting_power,kimi_confirmed_node_weight,kimi_preserved_node_weight,kimi_node_weight_sum,kimi_node_count,kimi_preserved_node_count,qwen_entry_weight,qwen_subgroup_confirmation_weight,qwen_voting_power,qwen_confirmed_node_weight,qwen_preserved_node_weight,qwen_node_weight_sum,qwen_node_count,qwen_preserved_node_count,confirmed_node_weight_total,preserved_node_weight_total,node_weight_sum_total,model_entry_weight_sum,model_subgroup_confirmation_weight_sum,model_voting_power_sum,parent_minus_model_entry_weight_sum,notes
265,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,yes,2176911.971667,6908,8127,0,,,,,,,,,22620,8127,6908,22620,0,22620,2,0,22620,0,22620,22620,8127,6908,-15712,
265,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,no,0.000000,6710,0,0,5597,7063,6710,5597,0,5597,1,0,,,,,,,,,5597,0,5597,5597,7063,6710,1113,
265,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,yes,2851918.550027,9050,9526,0,,,,,,,,,26514,9526,9050,26514,0,26514,5,0,26514,0,26514,26514,9526,9050,-17464,
265,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,yes,525320.245623,1727,1961,0,,,,,,,,,5655,2031,1727,5655,0,5655,1,0,5655,0,5655,5655,2031,1727,-3928,
265,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,yes,10553989.409830,33800,33491,0,22160,33800,33800,10069,12091,22160,2,1,16235,33800,33800,0,16235,16235,1,1,10069,28326,38395,38395,67600,67600,-4595,
265,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,yes,1132889.191972,3667,3784,0,3058,3859,3667,3058,0,3058,1,0,,,,,,,,,3058,0,3058,3058,3859,3667,609,
265,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,yes,3917370.109987,12499,12431,0,9492,12437,13883,9492,0,9492,1,0,1275,12437,12499,0,1275,1275,1,1,9492,1275,10767,10767,24874,26382,1732,
265,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,yes,11493704.450292,39448,36473,0,1042,39091,46242,0,1042,1042,1,1,105138,39091,39448,100347,4791,105138,13,2,100347,5833,106180,106180,78182,85690,-66732,
265,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,yes,54393492.283376,189884,172607,0,136007,189884,189884,130035,5972,136007,12,1,50745,189884,189884,50745,0,50745,19,0,180780,5972,186752,186752,379768,379768,3132,
265,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,no,0.000000,13490,0,0,11252,14200,13490,11252,0,11252,2,0,,,,,,,,,11252,0,11252,11252,14200,13490,2238,
265,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,no,0.000000,10133,0,0,,,,,,,,,33180,11921,10133,24033,9147,33180,6,2,24033,9147,33180,33180,11921,10133,-23047,
265,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,no,0.000000,14284,0,0,11913,15035,14284,5943,5970,11913,2,1,,,,,,,,,5943,5970,11913,11913,15035,14284,2371,
265,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,yes,2223866.210778,7057,7428,0,5886,7428,7057,5886,0,5886,1,0,,,,,,,,,5886,0,5886,5886,7428,7057,1171,
265,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,yes,481517.297728,1604,1797,0,,,,,,,,,5250,1886,1604,5250,0,5250,2,0,5250,0,5250,5250,1886,1604,-3646,
265,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,yes,2140987.251810,6794,7151,0,,,,,,,,,19904,7151,6794,19904,0,19904,8,0,19904,0,19904,19904,7151,6794,-13110,
265,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,yes,244540.198322,776,912,0,,,,,,,,,2539,912,776,2539,0,2539,1,0,2539,0,2539,2539,912,776,-1763,
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,no,0.000000,1066,236,0,,,,,,,,,3491,1254,1066,3491,0,3491,1,0,3491,0,3491,3491,1254,1066,-2425,
265,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,yes,124160.873890,394,463,0,,,,,,,,,1290,463,394,0,1290,1290,1,1,0,1290,1290,1290,463,394,-896,
265,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,yes,196640.571847,794,624,0,,,,,,,,,1764,633,4461,0,1764,1764,1,1,0,1764,1764,1764,633,4461,-970,
265,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,yes,348217.679312,1108,1163,0,,,,,,,,,3247,1166,1108,0,3247,3247,1,1,0,3247,3247,3247,1166,1108,-2139,
265,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,yes,39847762.290873,128853,133104,0,,,,,,,,,377497,135634,128853,357859,19638,377497,38,2,357859,19638,377497,377497,135634,128853,-248644,
265,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,yes,2650866.170478,11773,8412,0,5912,8455,11773,0,5912,5912,1,1,2769,8455,74862,2769,0,2769,1,0,2769,5912,8681,8681,16910,86635,3092,
265,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,no,0.000000,96900,1347,0,1068,96900,96900,0,1068,1068,1,1,265943,96900,96900,247786,18157,265943,27,2,247786,19225,267011,267011,193800,193800,-170111,
265,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,yes,354835.390865,1231,1185,0,,,,,,,,,3606,1295,1231,3606,0,3606,1,0,3606,0,3606,3606,1295,1231,-2375,
265,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,yes,109034.676056,346,364,0,,,,,,,,,1014,364,346,0,1014,1014,1,1,0,1014,1014,1014,364,346,-668,
265,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,yes,5463078.451190,18392,18249,0,,,,,,,,,53883,19360,18392,46479,7404,53883,7,1,46479,7404,53883,53883,19360,18392,-35491,
265,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,no,0.000000,66311,323,0,52279,66311,66311,52279,0,52279,4,0,923,66311,66311,923,0,923,1,0,53202,0,53202,53202,132622,132622,13109,
265,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,yes,1680898.734347,5411,5334,0,2580,5411,5411,0,2580,2580,1,1,6000,5411,5411,0,6000,6000,1,1,0,8580,8580,8580,10822,10822,-3169,
265,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,no,0.000000,7194,0,0,6000,7572,7194,0,6000,6000,1,1,,,,,,,,,0,6000,6000,6000,7572,7194,1194,
265,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,no,0.000000,13184,0,0,,,,,,,,,43169,15510,13184,40848,2321,43169,16,1,40848,2321,43169,43169,15510,13184,-29985,
265,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,yes,185926.181714,590,621,0,,,,,,,,,1731,621,590,1731,0,1731,1,0,1731,0,1731,1731,621,590,-1141,
265,gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,no,0.000000,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_parent_final_validation_weights; not_in_model_subgroups
265,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,yes,25454239.664077,89734,82373,0,72507,91510,147538,72507,0,72507,7,0,,,,,,,,,72507,0,72507,72507,91510,147538,17227,
265,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,no,0.000000,880,0,0,,,,,,,,,2882,1035,880,0,2882,2882,1,1,0,2882,2882,2882,1035,880,-2002,
265,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,no,0.000000,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_parent_final_validation_weights; not_in_model_subgroups
265,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,yes,169854.596515,539,633,0,,,,,,,,,1764,633,539,0,1764,1764,1,1,0,1764,1764,1764,633,539,-1225,
265,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,yes,1309046.370918,4154,4886,0,,,,,,,,,13601,4886,4154,6924,6677,13601,2,1,6924,6677,13601,13601,4886,4154,-9447,
265,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,yes,6549643.662294,25691,20784,0,,,,,,,,,61863,22227,115425,54413,7450,61863,8,1,54413,7450,61863,61863,22227,115425,-36172,
265,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,no,0.000000,7090,0,0,5914,7463,7090,5914,0,5914,1,0,,,,,,,,,5914,0,5914,5914,7463,7090,1176,
265,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,yes,620804.369453,1970,2073,0,,,,,,,,,5770,2073,1970,5770,0,5770,1,0,5770,0,5770,5770,2073,1970,-3800,
265,gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,yes,351368.970528,1124,1174,0,,,,,,,,,3294,1183,1124,0,3294,3294,1,1,0,3294,3294,3294,1183,1124,-2170,
265,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,yes,556833.157778,1789,2079,0,,,,,,,,,5857,2104,1789,5857,0,5857,1,0,5857,0,5857,5857,2104,1789,-4068,
265,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,yes,173951.275095,926,581,0,,,,,,,,,2712,974,926,2712,0,2712,1,0,2712,0,2712,2712,974,926,-1786,
265,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,no,0.000000,10081,2363,0,6116,10081,10081,6116,0,6116,1,0,6578,10081,10081,6578,0,6578,1,0,12694,0,12694,12694,20162,20162,-2613,
265,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,yes,177732.824554,564,593,0,,,,,,,,,1652,593,564,0,1652,1652,1,1,0,1652,1652,1652,593,564,-1088,
265,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,yes,60189.662216,405,225,0,,,,,,,,,1327,476,405,1327,0,1327,1,0,1327,0,1327,1327,476,405,-922,
265,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,yes,2243719.345435,7264,7495,0,6059,7646,7264,6059,0,6059,1,0,,,,,,,,,6059,0,6059,6059,7646,7264,1205,
265,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,no,0.000000,12411,0,0,11569,14601,12411,11569,0,11569,2,0,,,,,,,,,11569,0,11569,11569,14601,12411,842,
265,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,yes,386978.561263,1252,1444,0,,,,,,,,,4097,1472,1252,4097,0,4097,1,0,4097,0,4097,4097,1472,1252,-2845,
265,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,yes,254939.459333,828,952,0,,,,,,,,,2712,974,828,0,2712,2712,1,1,0,2712,2712,2712,974,828,-1884,
265,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,yes,665237.575592,9126,2111,0,865,2111,141664,865,0,865,1,0,2841,2111,9126,0,2841,2841,1,1,865,2841,3706,3706,4222,150790,5420,
265,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,yes,3492576.054138,11305,13039,0,,,,,,,,,37016,13299,11305,37016,0,37016,6,0,37016,0,37016,37016,13299,11305,-25711,
265,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,no,0.000000,5666,0,0,,,,,,,,,18551,6665,5666,18551,0,18551,3,0,18551,0,18551,18551,6665,5666,-12885,
266,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,yes,5869987.107005,6908,8127,0,,,,,,,,,22620,8127,6908,0,22620,22620,2,2,0,22620,22620,22620,8127,6908,-15712,
266,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,yes,7997729.972660,11668,11073,0,,,,,,,,,38203,13726,11668,38203,0,38203,5,0,38203,0,38203,38203,13726,11668,-26535,
266,gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,no,0.000000,1568,0,0,,,,,,,,,5133,1844,1568,5133,0,5133,1,0,5133,0,5133,5133,1844,1568,-3565,
266,gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,no,0.000000,156,0,0,,,,,,,,,2566,921,156,2566,0,2566,1,0,2566,0,2566,2566,921,156,-2410,
266,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,yes,1502336.016963,1768,2080,0,,,,,,,,,5790,2080,1768,5790,0,5790,1,0,5790,0,5790,5790,2080,1768,-4022,
266,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,yes,26799023.361427,31538,33197,0,26304,33197,31538,16235,10069,26304,2,1,,,,,,,,,16235,10069,26304,26304,33197,31538,5234,
266,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,yes,3115987.655094,3667,3859,0,3058,3859,3667,0,3058,3058,1,1,,,,,,,,,0,3058,3058,3058,3859,3667,609,
266,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,yes,10579232.698642,14194,12450,0,9492,12450,16020,0,9492,9492,1,1,1313,12450,45732,1313,0,1313,1,0,1313,9492,10805,10805,24900,61752,3389,
266,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,yes,31186218.415491,38583,36701,0,1042,38248,36311,0,1042,1042,1,1,102792,38248,38583,102792,0,102792,13,0,102792,1042,103834,103834,76496,74894,-65251,
266,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,yes,14350368.017242,16888,19868,0,,,,,,,,,55297,19868,16888,55297,0,55297,20,0,55297,0,55297,55297,19868,16888,-38409,
266,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,yes,3827217.997966,5977,5299,0,5571,7031,5977,0,5571,5571,1,1,,,,,,,,,0,5571,5571,5571,7031,5977,406,
266,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,no,0.000000,2758,0,0,,,,,,,,,9030,3244,2758,0,9030,9030,2,2,0,9030,9030,9030,3244,2758,-6272,
266,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,yes,5958359.813885,7057,7381,0,5886,7428,7057,0,5886,5886,1,1,,,,,,,,,0,5886,5886,5886,7428,7057,1171,
266,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,no,0.000000,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_parent_final_validation_weights; not_in_model_subgroups
266,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,yes,5420475.934509,6379,6714,0,,,,,,,,,18688,6714,6379,18688,0,18688,8,0,18688,0,18688,18688,6714,6379,-12309,
266,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,yes,654297.925940,776,905,0,,,,,,,,,2539,912,776,0,2539,2539,1,1,0,2539,2539,2539,912,776,-1763,
266,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,yes,863333.367214,1084,1196,0,,,,,,,,,3551,1275,1084,3551,0,3551,1,0,3551,0,3551,3551,1275,1084,-2467,
266,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,yes,385780.855034,454,477,0,,,,,,,,,1328,477,454,1328,0,1328,1,0,1328,0,1328,1328,477,454,-874,
266,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,yes,527687.028582,782,621,0,,,,,,,,,1731,621,4449,1731,0,1731,1,0,1731,0,1731,1731,621,4449,-949,
266,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,yes,842939.665626,992,1166,0,,,,,,,,,3247,1166,992,0,3247,3247,1,1,0,3247,3247,3247,1166,992,-2255,
266,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,yes,78351751.762546,101383,131531,0,,,,,,,,,380478,136705,97659,380478,0,380478,38,0,380478,0,380478,380478,136705,97659,-279095,
266,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,no,0.000000,1538,0,0,,,,,,,,,3820,1372,8595,3820,0,3820,1,0,3820,0,3820,3820,1372,8595,-2282,
266,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,no,0.000000,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_model_subgroups
266,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,yes,878628.643405,1139,1217,0,,,,,,,,,3731,1340,1139,3731,0,3731,1,0,3731,0,3731,3731,1340,1139,-2592,
266,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,yes,256620.744979,310,355,0,,,,,,,,,1014,364,310,0,1014,1014,1,1,0,1014,1014,1014,364,310,-704,
266,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,yes,13391864.042618,15760,18541,0,,,,,,,,,51604,18541,15760,44200,7404,51604,7,1,44200,7404,51604,51604,18541,15760,-35844,
266,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,yes,239625.993655,282,331,0,,,,,,,,,923,331,282,0,923,923,1,1,0,923,923,923,331,282,-641,
266,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,yes,4505308.575759,5379,5302,0,2580,5379,5379,0,2580,2580,1,1,5909,5379,5379,5909,0,5909,1,0,5909,2580,8489,8489,10758,10758,-3110,
266,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,yes,5334652.440327,6437,7385,0,6000,7572,6437,0,6000,6000,1,1,,,,,,,,,0,6000,6000,6000,7572,6437,437,
266,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,no,0.000000,709,0,0,,,,,,,,,2321,833,709,0,2321,2321,1,1,0,2321,2321,2321,833,709,-1612,
266,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,yes,496246.738635,590,615,0,,,,,,,,,1731,621,590,0,1731,1731,1,1,0,1731,1731,1731,621,590,-1141,
266,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,no,0.000000,880,0,0,,,,,,,,,2882,1035,880,0,2882,2882,1,1,0,2882,2882,2882,1035,880,-2002,
266,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,yes,871830.742876,1048,1964,0,,,,,,,,,5581,2005,1048,5581,0,5581,1,0,5581,0,5581,5581,2005,1048,-4533,
266,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,yes,411272.982019,528,570,0,,,,,,,,,1731,621,528,1731,0,1731,1,0,1731,0,1731,1731,621,528,-1203,
266,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,yes,3481374.808541,4172,4820,0,,,,,,,,,13661,4908,4172,6984,6677,13661,2,1,6984,6677,13661,13661,4908,4172,-9489,
266,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,yes,15325866.743189,18057,21219,0,,,,,,,,,59126,21243,18057,59126,0,59126,8,0,59126,0,59126,59126,21243,18057,-41069,
266,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,yes,1498087.329133,1763,2073,0,,,,,,,,,5770,2073,1763,0,5770,5770,1,1,0,5770,5770,5770,2073,1763,-4007,
266,gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,yes,843789.403192,1006,1168,0,,,,,,,,,3294,1183,1006,0,3294,3294,1,1,0,3294,3294,3294,1183,1006,-2288,
266,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,yes,1472595.202148,1796,2038,0,,,,,,,,,5880,2112,1796,5880,0,5880,1,0,5880,0,5880,5880,2112,1796,-4084,
266,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,yes,419770.357681,839,581,0,,,,,,,,,2746,986,839,2746,0,2746,1,0,2746,0,2746,2746,986,839,-1907,
266,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,no,0.000000,2009,0,0,,,,,,,,,6578,2363,2009,0,6578,6578,1,1,0,6578,6578,6578,2363,2009,-4569,
266,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,yes,441863.534401,520,611,0,,,,,,,,,1701,611,520,1701,0,1701,1,0,1701,0,1701,1701,611,520,-1181,
266,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,yes,169947.513231,200,235,0,,,,,,,,,656,235,200,656,0,656,1,0,656,0,656,656,235,200,-456,
266,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,yes,2148136.567242,2528,2973,0,,,,,,,,,8275,2973,2528,4178,4097,8275,2,1,4178,4097,8275,8275,2973,2528,-5747,
266,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,yes,712929.818004,839,986,0,,,,,,,,,2746,986,839,2746,0,2746,1,0,2746,0,2746,2746,986,839,-1907,
266,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,yes,736722.469857,867,1020,0,,,,,,,,,2841,1020,867,0,2841,2841,1,1,0,2841,2841,2841,1020,867,-1974,
266,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,yes,9303776.611842,11383,12881,0,,,,,,,,,37270,13391,11383,36234,1036,37270,6,1,36234,1036,37270,37270,13391,11383,-25887,
266,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,no,0.000000,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_parent_final_validation_weights; not_in_model_subgroups
